,list_price,bathrooms,sqft,parking,mean_district_income,district_code,final_price_transformed,final_price_log,bedrooms_ag,bedrooms_bg
6309,699900,2,1300.0,1,52787,14,2.391111106640755,13.493926933836812,2,1
6310,378000,2,1500.0,1,31826,117,2.38831817781056,12.823957341589573,3,0
6311,649000,1,550.0,0,70600,77,2.390557802484917,13.34550692871854,1,0
6315,914900,2,1300.0,1,53803,70,2.3919127401029874,13.726679344257658,3,0
6316,668800,2,1100.0,1,70600,77,2.3907073584091303,13.38472764187182,2,1
6317,639900,1,650.0,0,58915,73,2.3905268716088885,13.337474757021274,1,1
6318,859900,1,850.0,1,53583,75,2.391667308524418,13.652991628466498,2,0
6319,3450000,6,3250.0,3,123077,39,2.395112192729707,14.978661367769956,5,1
6320,4298000,7,4250.0,6,123077,39,2.395581213311508,15.23257657775092,4,1
6321,775000,2,950.0,1,58915,73,2.39138258534922,13.570249201396445,2,0
6322,639000,1,850.0,1,70623,82,2.390884589401179,13.432051530118724,2,1
6323,649900,1,650.0,1,70600,77,2.390717115853999,13.38730892288224,1,0
6324,990000,2,950.0,1,56526,76,2.392214511857828,13.820498099475314,2,1
6325,650000,2,750.0,1,28875,55,2.3907073584091303,13.38472764187182,2,0
6326,799900,2,1300.0,1,40588,83,2.391303030944816,13.547631112808672,2,2
6327,938000,3,1500.0,1,39740,93,2.391894747885445,13.721199878493032,2,1
6328,599000,2,750.0,1,36359,53,2.390147296209767,13.241034907121827,2,0
6329,484500,1,550.0,1,36359,53,2.389333876657316,13.046561663988047,1,0
6330,499900,1,650.0,1,36359,53,2.3896923550663938,13.130331547053506,1,1
6331,415000,2,1300.0,1,31826,117,2.3887067217250566,12.90669184092882,1,1
6332,465000,1,250.0,1,70600,77,2.3893479364998145,13.049792684569493,0,0
6333,609000,1,650.0,1,37422,78,2.39039952267644,13.304684934198283,1,1
6334,1288999,3,2750.0,2,37379,47,2.3929513189557463,14.066269276311456,4,0
6335,579000,1,550.0,0,53583,75,2.3901967870468037,13.253391639810731,1,1
